"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
24	0.928315782673299	7	7	"Churn"	0
25	0.935453869047619	7	7	"Churn"	0
26	0.925228437708937	7	7	"Churn"	0
27	0.913031087761904	7	7	"Churn"	0
28	0.911252508009001	7	7	"Churn"	0
29	0.913927065438076	7	7	"Churn"	0
30	0.924704071969697	7	7	"Churn"	0
1	0.942945821351956	8	8	"Churn"	0
2	0.897353138944923	8	8	"Churn"	0
3	0.944368198600855	8	8	"Churn"	0
4	0.941207601043667	8	8	"Churn"	0
5	0.933766330245047	8	8	"Churn"	0
6	0.931161387631976	8	8	"Churn"	0
7	0.942313266443701	8	8	"Churn"	0
8	0.944301470588235	8	8	"Churn"	0
9	0.9281987444459	8	8	"Churn"	0
10	0.930832807208862	8	8	"Churn"	0
11	0.938550939663699	8	8	"Churn"	0
12	0.90786577763322	8	8	"Churn"	0
13	0.925576562080987	8	8	"Churn"	0
14	0.953736609474314	8	8	"Churn"	0
15	0.915339163933573	8	8	"Churn"	0
16	0.940040898369875	8	8	"Churn"	0
17	0.946798888817107	8	8	"Churn"	0
18	0.920305231861123	8	8	"Churn"	0
19	0.942515837104072	8	8	"Churn"	0
20	0.942466187658495	8	8	"Churn"	0
21	0.940427030703459	8	8	"Churn"	0
22	0.904438920454545	8	8	"Churn"	0
23	0.945630490539854	8	8	"Churn"	0
24	0.952536337209302	8	8	"Churn"	0
25	0.893365204470573	8	8	"Churn"	0
26	0.921042899408284	8	8	"Churn"	0
27	0.935629157427938	8	8	"Churn"	0
28	0.93656994047619	8	8	"Churn"	0
29	0.958635265700483	8	8	"Churn"	0
30	0.929453701904392	8	8	"Churn"	0
1	0.954615768463074	9	9	"Churn"	0
2	0.928525406718129	9	9	"Churn"	0
3	0.929827201783724	9	9	"Churn"	0
4	0.945084428690986	9	9	"Churn"	0
5	0.912228642823676	9	9	"Churn"	0
6	0.92539873092094	9	9	"Churn"	0
7	0.937543577366586	9	9	"Churn"	0
8	0.942380934184213	9	9	"Churn"	0
