"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
6	0.977011494252874	8	8	"Corte 1"	"Yes"	0.1
7	0.975669642857143	8	8	"Corte 1"	"Yes"	0.1
8	0.975838611306592	8	8	"Corte 1"	"Yes"	0.1
9	0.989766081871345	8	8	"Corte 1"	"Yes"	0.1
10	0.978302185619259	8	8	"Corte 1"	"Yes"	0.1
11	0.988806166473745	8	8	"Corte 1"	"Yes"	0.1
12	0.981824871228845	8	8	"Corte 1"	"Yes"	0.1
13	0.988242706992707	8	8	"Corte 1"	"Yes"	0.1
14	0.959420121099208	8	8	"Corte 1"	"Yes"	0.1
15	0.983687044662654	8	8	"Corte 1"	"Yes"	0.1
16	0.983563921063921	8	8	"Corte 1"	"Yes"	0.1
17	0.993302400088381	8	8	"Corte 1"	"Yes"	0.1
18	0.978354978354978	7	8	"Corte 1"	"Yes"	0.1
19	0.987268518518518	8	8	"Corte 1"	"Yes"	0.1
20	0.971955915549064	8	8	"Corte 1"	"Yes"	0.1
21	0.962671232876712	8	8	"Corte 1"	"Yes"	0.1
22	0.979017857142857	8	8	"Corte 1"	"Yes"	0.1
23	0.997752808988764	7	8	"Corte 1"	"Yes"	0.1
24	0.979680519832138	8	8	"Corte 1"	"Yes"	0.1
25	0.978990117774469	8	8	"Corte 1"	"Yes"	0.1
26	0.978027961736571	8	8	"Corte 1"	"Yes"	0.1
27	0.951506696428571	7	8	"Corte 1"	"Yes"	0.1
28	0.979604261796043	8	8	"Corte 1"	"Yes"	0.1
29	0.991890495867769	7	8	"Corte 1"	"Yes"	0.1
30	0.992923606224099	8	8	"Corte 1"	"Yes"	0.1
1	0.983457425206444	8	9	"Corte 1"	"Yes"	0.1
2	0.995515695067265	9	9	"Corte 1"	"Yes"	0.1
3	0.977435897435897	8	9	"Corte 1"	"Yes"	0.1
4	0.96983863312767	8	9	"Corte 1"	"Yes"	0.1
5	0.977671900989541	8	9	"Corte 1"	"Yes"	0.1
6	0.988876529477197	7	9	"Corte 1"	"Yes"	0.1
7	0.959316239316239	9	9	"Corte 1"	"Yes"	0.1
8	0.997797356828194	8	9	"Corte 1"	"Yes"	0.1
9	1	9	9	"Corte 1"	"Yes"	0.1
10	0.98004795788047	8	9	"Corte 1"	"Yes"	0.1
11	0.993119086715146	8	9	"Corte 1"	"Yes"	0.1
12	0.992275367692498	8	9	"Corte 1"	"Yes"	0.1
13	0.964442228766202	8	9	"Corte 1"	"Yes"	0.1
14	0.965726495726496	8	9	"Corte 1"	"Yes"	0.1
15	0.982602397756341	9	9	"Corte 1"	"Yes"	0.1
16	0.983523521192361	8	9	"Corte 1"	"Yes"	0.1
17	0.97855692432652	8	9	"Corte 1"	"Yes"	0.1
18	0.981773843421387	8	9	"Corte 1"	"Yes"	0.1
19	0.996613995485327	9	9	"Corte 1"	"Yes"	0.1
20	0.977792494481236	9	9	"Corte 1"	"Yes"	0.1
21	0.970929507174049	9	9	"Corte 1"	"Yes"	0.1
22	0.970029239766082	9	9	"Corte 1"	"Yes"	0.1
23	0.990792381353257	7	9	"Corte 1"	"Yes"	0.1
24	0.980868163087712	7	9	"Corte 1"	"Yes"	0.1
25	0.965999068467629	7	9	"Corte 1"	"Yes"	0.1
26	0.97083436904466	8	9	"Corte 1"	"Yes"	0.1
27	0.985114600659694	8	9	"Corte 1"	"Yes"	0.1
28	0.968548710204333	9	9	"Corte 1"	"Yes"	0.1
29	0.96848273677542	8	9	"Corte 1"	"Yes"	0.1
30	0.986238173430292	9	9	"Corte 1"	"Yes"	0.1
1	0.954954954954955	8	10	"Corte 1"	"Yes"	0.1
2	0.983523521192361	8	10	"Corte 1"	"Yes"	0.1
3	0.980512820512821	9	10	"Corte 1"	"Yes"	0.1
4	0.93635646020693	8	10	"Corte 1"	"Yes"	0.1
5	0.98125	8	10	"Corte 1"	"Yes"	0.1
6	0.973938223938224	7	10	"Corte 1"	"Yes"	0.1
7	0.983055791904704	9	10	"Corte 1"	"Yes"	0.1
8	0.970029239766082	8	10	"Corte 1"	"Yes"	0.1
9	0.984126984126984	10	10	"Corte 1"	"Yes"	0.1
10	0.971125451164826	8	10	"Corte 1"	"Yes"	0.1
11	0.986605783866058	7	10	"Corte 1"	"Yes"	0.1
12	0.978777235385165	8	10	"Corte 1"	"Yes"	0.1
13	0.972246527398009	9	10	"Corte 1"	"Yes"	0.1
14	0.991367521367521	7	10	"Corte 1"	"Yes"	0.1
15	0.959618015363569	7	10	"Corte 1"	"Yes"	0.1
16	0.982464607464608	8	10	"Corte 1"	"Yes"	0.1
17	0.948461538461538	10	10	"Corte 1"	"Yes"	0.1
18	0.976136363636364	10	10	"Corte 1"	"Yes"	0.1
19	0.955584988962472	9	10	"Corte 1"	"Yes"	0.1
20	0.998891352549889	8	10	"Corte 1"	"Yes"	0.1
21	0.971952937277322	9	10	"Corte 1"	"Yes"	0.1
22	0.968548710204333	7	10	"Corte 1"	"Yes"	0.1
23	0.97953216374269	9	10	"Corte 1"	"Yes"	0.1
24	0.998876404494382	9	10	"Corte 1"	"Yes"	0.1
25	0.977007208550833	7	10	"Corte 1"	"Yes"	0.1
26	0.983069284123775	9	10	"Corte 1"	"Yes"	0.1
27	0.959848307138948	8	10	"Corte 1"	"Yes"	0.1
28	0.963249667683165	7	10	"Corte 1"	"Yes"	0.1
29	0.985428253615128	9	10	"Corte 1"	"Yes"	0.1
30	0.980145112265908	10	10	"Corte 1"	"Yes"	0.1
1	0.9875	7	11	"Corte 1"	"Yes"	0.1
2	0.973938223938224	9	11	"Corte 1"	"Yes"	0.1
3	0.96559188652618	7	11	"Corte 1"	"Yes"	0.1
4	0.961989230281913	10	11	"Corte 1"	"Yes"	0.1
5	0.980095604833355	9	11	"Corte 1"	"Yes"	0.1
6	0.973121800214311	7	11	"Corte 1"	"Yes"	0.1
7	0.982081200142874	8	11	"Corte 1"	"Yes"	0.1
8	0.976101935907251	9	11	"Corte 1"	"Yes"	0.1
9	0.985379295819146	9	11	"Corte 1"	"Yes"	0.1
10	0.959432771068734	9	11	"Corte 1"	"Yes"	0.1
11	0.980255285201436	9	11	"Corte 1"	"Yes"	0.1
12	0.968803418803419	8	11	"Corte 1"	"Yes"	0.1
13	0.981820830770227	8	11	"Corte 1"	"Yes"	0.1
14	0.954582616785543	8	11	"Corte 1"	"Yes"	0.1
15	0.973867595818815	10	11	"Corte 1"	"Yes"	0.1
16	0.987951807228916	7	11	"Corte 1"	"Yes"	0.1
17	0.971880341880342	8	11	"Corte 1"	"Yes"	0.1
18	0.982039573820396	7	11	"Corte 1"	"Yes"	0.1
19	0.978940397350993	9	11	"Corte 1"	"Yes"	0.1
20	0.985227272727273	8	11	"Corte 1"	"Yes"	0.1
