"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
25	0.900585346246122	5	5	"Churn"	"Yes"	0.1
26	0.911760179924242	5	5	"Churn"	"Yes"	0.1
27	0.894341828384382	5	5	"Churn"	"Yes"	0.1
28	0.879220065704643	5	5	"Churn"	"Yes"	0.1
29	0.930309350017379	5	5	"Churn"	"Yes"	0.1
30	0.899364367403075	5	5	"Churn"	"Yes"	0.1
1	0.877158078200533	6	6	"Churn"	"Yes"	0.1
2	0.926706078172531	6	6	"Churn"	"Yes"	0.1
3	0.90394169513778	6	6	"Churn"	"Yes"	0.1
4	0.900672648070945	6	6	"Churn"	"Yes"	0.1
5	0.906381407316521	6	6	"Churn"	"Yes"	0.1
6	0.905854330482695	6	6	"Churn"	"Yes"	0.1
7	0.923220463955533	6	6	"Churn"	"Yes"	0.1
8	0.912063563915328	6	6	"Churn"	"Yes"	0.1
9	0.921015211640212	6	6	"Churn"	"Yes"	0.1
10	0.871104590745156	6	6	"Churn"	"Yes"	0.1
11	0.890670569740337	6	6	"Churn"	"Yes"	0.1
12	0.860054298642534	6	6	"Churn"	"Yes"	0.1
13	0.877273790039747	6	6	"Churn"	"Yes"	0.1
14	0.870755958980044	6	6	"Churn"	"Yes"	0.1
15	0.875917093405034	6	6	"Churn"	"Yes"	0.1
16	0.874038704781179	6	6	"Churn"	"Yes"	0.1
17	0.900154967571601	6	6	"Churn"	"Yes"	0.1
18	0.92475612119646	6	6	"Churn"	"Yes"	0.1
19	0.885243070032282	6	6	"Churn"	"Yes"	0.1
20	0.904575388181946	6	6	"Churn"	"Yes"	0.1
21	0.905517767162615	6	6	"Churn"	"Yes"	0.1
22	0.845899057733354	6	6	"Churn"	"Yes"	0.1
23	0.879741202245652	6	6	"Churn"	"Yes"	0.1
24	0.902740778371145	6	6	"Churn"	"Yes"	0.1
25	0.879303756352937	6	6	"Churn"	"Yes"	0.1
26	0.908917669478068	6	6	"Churn"	"Yes"	0.1
27	0.915600888473229	6	6	"Churn"	"Yes"	0.1
28	0.891306084257611	6	6	"Churn"	"Yes"	0.1
29	0.907413079235438	6	6	"Churn"	"Yes"	0.1
30	0.90288169277531	6	6	"Churn"	"Yes"	0.1
1	0.894492654982701	7	7	"Churn"	"Yes"	0.1
2	0.89931520124039	7	7	"Churn"	"Yes"	0.1
3	0.878408762608182	7	7	"Churn"	"Yes"	0.1
4	0.889834341952442	7	7	"Churn"	"Yes"	0.1
5	0.939384615384615	7	7	"Churn"	"Yes"	0.1
6	0.84748067739871	7	7	"Churn"	"Yes"	0.1
7	0.89991304037071	7	7	"Churn"	"Yes"	0.1
8	0.939942138101711	7	7	"Churn"	"Yes"	0.1
9	0.894110128157691	7	7	"Churn"	"Yes"	0.1
10	0.882223181316837	7	7	"Churn"	"Yes"	0.1
11	0.89080718033424	7	7	"Churn"	"Yes"	0.1
12	0.91393560236469	7	7	"Churn"	"Yes"	0.1
13	0.921484375	7	7	"Churn"	"Yes"	0.1
14	0.90048658081445	7	7	"Churn"	"Yes"	0.1
15	0.912851239150369	7	7	"Churn"	"Yes"	0.1
16	0.889381851575504	7	7	"Churn"	"Yes"	0.1
17	0.884623773173391	7	7	"Churn"	"Yes"	0.1
18	0.891558163701938	7	7	"Churn"	"Yes"	0.1
19	0.850649266748498	7	7	"Churn"	"Yes"	0.1
20	0.90778695667329	7	7	"Churn"	"Yes"	0.1
21	0.874781383598912	7	7	"Churn"	"Yes"	0.1
22	0.910446259469697	7	7	"Churn"	"Yes"	0.1
23	0.870048959462518	7	7	"Churn"	"Yes"	0.1
24	0.829639395213166	7	7	"Churn"	"Yes"	0.1
25	0.860675716440422	7	7	"Churn"	"Yes"	0.1
26	0.914803851048525	7	7	"Churn"	"Yes"	0.1
27	0.870170454545454	7	7	"Churn"	"Yes"	0.1
28	0.856773952095808	7	7	"Churn"	"Yes"	0.1
29	0.831977982954546	7	7	"Churn"	"Yes"	0.1
30	0.892410176458082	7	7	"Churn"	"Yes"	0.1
1	0.900080353555645	8	8	"Churn"	"Yes"	0.1
2	0.905352806534444	8	8	"Churn"	"Yes"	0.1
3	0.892342787711294	8	8	"Churn"	"Yes"	0.1
4	0.917878944518289	8	8	"Churn"	"Yes"	0.1
5	0.890768463073852	8	8	"Churn"	"Yes"	0.1
6	0.860150518593473	8	8	"Churn"	"Yes"	0.1
7	0.871643085596574	8	8	"Churn"	"Yes"	0.1
8	0.817035697027519	8	8	"Churn"	"Yes"	0.1
9	0.900193363273453	8	8	"Churn"	"Yes"	0.1
10	0.870546810273405	8	8	"Churn"	"Yes"	0.1
11	0.870792483660131	8	8	"Churn"	"Yes"	0.1
12	0.891548872875092	8	8	"Churn"	"Yes"	0.1
13	0.871092365058989	8	8	"Churn"	"Yes"	0.1
14	0.871660859465738	8	8	"Churn"	"Yes"	0.1
15	0.849206349206349	8	8	"Churn"	"Yes"	0.1
